STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,JURISDICTION,Jurisdiction,INDUSTRY,Industry,CARTEL_NAME,Cartel name,DD_DIM,Drilldown,DD_ID,DD ID,UNIT_MEASURE,Unit of measure,SANCTION_TYPE,Sanction type,BID_RIGGING,Bid rigging,OBS_VALUE,Observation value,OBS_STATUS,Observation status,CARTEL_CONNOR,Cartel connor,FIRM_NUMBER,Number of firms,PER_NUMBER,Number of persons,CASE_NUMBER,Case number,CASE_LINK,Case link,AUTHORITY,Authority,START_DATE,Start date,END_DATE,End date,CARTEL_DURATION,Cartel duration,DISCOVERY_DATE,Discorevery date,DECISION_DATE,Decision date,SUBSIDIARY_NAME,Subsidiary name,PARENT_NAME,Parent name,PARENT_COUNTRY,Parent country,CURRENCY,Currency original,AMOUNT_ORIGINAL,Amount original,EXCHANGE_RATE,Exchange rate
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,541,"Professional, Scientific, and Technical Services",584,"Laboratory testing, clinical",DD,Drilldown,3271,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,1,,Unspecified,,EC: CASE n. COMP/39510 - Ordre National des Pharmaciens en France (ONP),,Unspecified,,European Commission,,37622,,40513,,7.9,,2008,,2010,,Ordre Nationale des Pharmaciens,,Ordre Nationale des Pharmaciens,,FRA,France,EUR,Euro,6650000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,PAK,Pakistan,311,Food Manufacturing,632,Cooking Oil and Ghee,DD,Drilldown,2999,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,1,,Unspecified,,PA (CPP): 1(15)/PVMA-ISB/C&TA/CCP/2011,,Unspecified,,Competition Commission of Pakistan,,39804,,40575,,2.1,,2011,,2011,,Pakistan Vanaspati Manufacturers' Assn.,,Unspecified,,PAK,Pakistan,PKR,Pakistan rupee,547000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,_Z,Not applicable,522,Credit Intermediation and Related Activities,1014,Bank credit-card interchange fees MC 2,DD,Drilldown,540,,USD,US dollar,_X,Unspecified,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,1,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,1985,,Unspecified,,medicair centro srl,,Medicair Group,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,AUS,Australia,454,Nonstore Retailers,1600,SNBB,DD,Drilldown,5483,,USD,US dollar,FN,Fine,NO,No,1266890,,,,FALSE,,1,,1,,[2022] FCA 1424,,https://www.australiancompetitionlaw.info/cases/cdpp-v-alkaloids-of-australia,,Federal Court of Australia,,39995,,43453,,9.605555556,,2019,,2022,,ALKALOIDS OF AUSTRALIA,,ALKALOIDS CORPORATION,,IND,India,AUD,Australian dollar,1887500,,0.6712,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ESP,Spain,339,Miscellaneous Manufacturing,686,Motorcycles,DD,Drilldown,2889,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CNMC: CASE n. S/0280/10 & VS/0280/10 ; ,,Unspecified,,The Spanish National Commission of Markets and Competition,,39814,,40178,,1,,2010,,2012,,Montesa Honda SA,,Honda Motors,,JPN,Japan,EUR,Euro,2700000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ESP,Spain,326,Plastics and Rubber Products Manufacturing,965,"Foam, elastomeric",DD,Drilldown,354,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CNC: S/0402/12 Espuma Elastomérica,,Unspecified,,Unspecified,,36892,,40909,,11,,2012,,2013,,Armacell Iberia,,FOAM INVESTMENTS II SARL,,USA,United States,EUR,Euro,8576000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ESP,Spain,482,Rail Transportation,932,Rail freight,DD,Drilldown,256,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CNMC: CASE n. S/DC/0511/14,,Unspecified,,Unspecified,,39753,,41933,,6,,2014,,2017,,"Renfe Mercancías, S.A.",,Renfe Operadora,,USA,United States,EUR,Euro,78760000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,221,Utilities,688,Electricity exchanges in NO and SE,DD,Drilldown,2887,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE AT.39952 — Power Exchanges,,Unspecified,,European Commission,,40695,,40940,,0.7,,2012,,2014,,Epex Spot (JV),,Powernext (FR) + EEX (DE) (EPEX),,_Z,Not applicable,EUR,Euro,5048000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,325,Chemical Manufacturing,660,"Fentanyl generic, pay-for-delay in NL",DD,Drilldown,2918,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE n. AT.39685 - Fentanyl,,Unspecified,,European Commission,,38544,,39066,,1.4,,2010,,2013,,Sandoz,,Novartis AG,,CHE,Switzerland,EUR,Euro,6950000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,424,"Merchant Wholesalers, Nondurable Goods",512,"Distribution, bananas 2, southern EU",DD,Drilldown,3514,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE n. COMP/39482 - Exotic Fruit (Bananas),,Unspecified,,European Commission,,38196,,38450,,0.7,,2009,,2011,,Pcaific Fruit,,Noboa Group,,BEL,Belgium,EUR,Euro,12160000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,517,Telecommunications,661,Telecom services in ES and PT,DD,Drilldown,2915,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE AT.39389,,Unspecified,,European Commission,,40448,,40578,,0.4,,2011,,2013,,Portugal Telecom,,Portugal Telecom,,PRT,Portugal,EUR,Euro,16370000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,DEU,Germany,312,Beverage and Tobacco Product Manufacturing,556,"Coffee, instant, cappucino, foodservice",DD,Drilldown,3384,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"BKA: CASE n. B11-20/08, press release 18/10/2011
ECN: press relea""Germany: Fines imposed on Cartel in Instant Capuccino Market""",,Unspecified,,Federal Cartel Office,,39326,,39814,,1.3,,2009,,2010,,Krüger GmbH & Co. Kommanditgesellschaft,,Krüger GmbH & Co. Kommanditgesellschaft,,DEU,Germany,EUR,Euro,1800000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,DEU,Germany,333,Machinery Manufacturing,627,Turntable Ladders for Fire Engines,DD,Drilldown,3004,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,BKA: press release 27/07/2011,,Unspecified,,Federal Cartel Office,,35796,,39387,,9.8,,2010,,2011,,Iveco Magirus Brandschutztechnik GmbH,,Fiat SpA,,ITA,Italy,EUR,Euro,25100000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,SVK,Slovak Republic,325,Chemical Manufacturing,713,"Detergents, high efficiency",DD,Drilldown,2848,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Slovakia Antimonopoly Office: DECISION n. 2011/KH/1/1/055,,Unspecified,,Antimonopoly Office of the Slovak Republic,,36342,,38352,,5.5,,2010,,2011,,Henkel Slovakia,,Henkel AG & Co. KGaA,,DEU,Germany,EUR,Euro,400000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,521,Monetary Authorities-Central Bank,926,Swiss Frank LIBOR (CHF LIBOR),DD,Drilldown,233,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"EC: CASE n. AT.39924 - Swiss Franc interest rate derivatives (CHF LIBOR)
WEKO: press release 21/12/2016",,Unspecified,,Unspecified,,39513,,40007,,1.4,,2011,,2014,,JPMorgan Chase & Co.,,JPMorgan Chase & Co.,,USA,United States,EUR,Euro,78800000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,DEU,Germany,541,"Professional, Scientific, and Technical Services",889,"Heat Exchanger Services, power plants",DD,Drilldown,56,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"BKA: press release 04/07/2014, B11-11/15",,Unspecified,,Unspecified,,37956,,40969,,8.3,,2012,,2014,,Alstom Power Energy Recovery GmbH,,Compagnie Générale d'Electricité (CGE) (1969-1998),,USA,United States,EUR,Euro,2570000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,AUT,Austria,522,Credit Intermediation and Related Activities,725,Bank payment-card interchange fees,DD,Drilldown,548,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"1 6 Ok 4 /0 7
Austrian Cartel Court, Europay Austria / Bankomat-Vertag, CASE n° 16 Ok 4/07, 1 December 2006 (German)",,Unspecified,,Unspecified,,37438,,38045,,1.7,,2002,,Unspecified,,Europay Austria Zahlungsverkehrssysteme GmbH JV,,All Austrian banks,,USA,United States,EUR,Euro,7350000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,PRT,Portugal,221,Utilities,1234,"Electricity, retail",DD,Drilldown,1446,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,AdC: CASE n. PRC/2014/5,,Unspecified,,Unspecified,,40909,,41639,,2,,2012,,2017,,"EDP – Energias de Portugal, S.A.",,China Three Gorges Corporation,,USA,United States,EUR,Euro,3820000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,NOR,Norway,237,Heavy and Civil Engineering Construction,534,Asphalt paving 2,DD,Drilldown,3448,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"2010/0080-619 (Norway Konkurranse Tilsynet),14-076039ASD-BORG/03 (Norway Court of Appeals)
Norway Konkurranse Tilsynet: CASE n. 2010/0080-619
Norway Court of Appeals: CASE n. 14-076039ASD-BORG/03",,Unspecified,,Norwegian Competition Authority,,38353,,39448,,3,,2010,,2015,,NCC Roads,,Nordstjernan AB,,SWE,Sweden,NOK,Norwegian krone,19100000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ZAF,South Africa,325,Chemical Manufacturing,775,"Gases, industrial (nitrogen, oxygen, argon)",DD,Drilldown,2521,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CompCom SA: press release 28/02/2013,,Unspecified,,Competition Commission of South Africa,,35889,,39873,,10.9,,2013,,2013,,Sasol Chemical Industries,,Sasol Ltd.,,ZAF,South Africa,ZAR,Rand,0,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,KOR,Korea,481,Air Transportation,598,"Air Route, Korea-Mongolia",DD,Drilldown,3203,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,KFTC: press release 25/05/2012,,Unspecified,,Korea Fair Trade Commission,,38626,,41034,,6.6,,2012,,2012,,"Korean Airlines Co, Ltd",,Hanjin KAL,,KOR,Korea,KRW,Won,0,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ZMB,Zambia,325,Chemical Manufacturing,741,Fertilizer,DD,Drilldown,2704,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,DECISION OF THE BOARD OF COMMISSIONERS 26/04/2013,,Unspecified,,Competition & Consumer Protection Commission of Zambia,,39083,,40544,,4,,2012,,2013,,Acciona Group,,Acciona Group,,ESP,Spain,ZMW,Kwacha,32600000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,KOR,Korea,325,Chemical Manufacturing,850,"Ondaron, generic drug pay-for-delay",DD,Drilldown,2252,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Korea Fair Trade Commission,,36161,,40817,,12.8,,2011,,2011,,Dong-A Pharaceutical Corp.,,Dong-A Pharaceutical Corp.,,KOR,Korea,KRW,Won,1850000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,JPN,Japan,333,Machinery Manufacturing,754,"Auto parts, fuel senders",DD,Drilldown,2582,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Japan Fair Trade Commission ,,38047,,40210,,5.9,,2010,,2012,,S-Y Systems Technologies,,Yazaki Corp.,,JPN,Japan,JPY,Yen,22000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,AUS,Australia,611,Educational Services,533,"Training, military air combat",DD,Drilldown,3450,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"ACCC: press release n. NR 143/09, NR 015/10",,Unspecified,,Australian Competition and Consumer Commission,,Unspecified,,39814,,Unspecified,,2009,,2010,,DRS C3 Systems,,DRS C3 Systems,,USA,United States,AUD,Australian dollar,1000000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ROU,Romania,519,"Web Search Portals, Libraries, Archives, and Other Information Services",1263,Internet technlogy services,DD,Drilldown,1493,,USD,US dollar,FN,Fine,PR,Private,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,RCC: CASE n. 33/2017,,Unspecified,,Unspecified,,39692,,41075,,3.8,,2017,,Unspecified,,INTRAROM SA  ,,JSFC SISTEMA (until 2012); INTRACOM SA (since January 2015),,USA,United States,RON,Romanian leu,540000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,CZE,Czechia,339,Miscellaneous Manufacturing,1066,"Instruments, medical",DD,Drilldown,778,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,UOHS: CASE n. 15/002/HS002 - S283/2011,,Unspecified,,Unspecified,,40441,,40477,,0.1,,2014,,2014,,"PURO-KLIMA, a.s.",,"PURO-KLIMA, a.s.",,USA,United States,CZK,Czech koruna,470000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,NOR,Norway,237,Heavy and Civil Engineering Construction,1181,"Sludge, Bergen",DD,Drilldown,1259,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,NCA: CASE n. Vedtak V2016-7,,Unspecified,,Unspecified,,41640,,41974,,0.9,,2014,,2016,,Johny Birkeland Transport AS / Norva 24 AS,,Johny Birkeland Transport AS / Norva 24 AS,,USA,United States,NOK,Norwegian krone,300000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,POL,Poland,333,Machinery Manufacturing,952,Railroad equipment,DD,Drilldown,328,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,PUOKK: CASE n. DOK1-410-3/13/PW- DOK 10/2014,,Unspecified,,Unspecified,,40544,,40908,,1,,2015,,2015,,KZA Przedsiębiorstwo Automatyki i Telekomunikacji S.A.,,Unspecified,,USA,United States,PLN,Zloty,114000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,CHL,Chile,322,Paper Manufacturing,1061,"Paper, sanitary",DD,Drilldown,728,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,TDLC: sentence n. 160/2017,,Unspecified,,Unspecified,,36526,,40878,,11.9,,2015,,2015,,CMPC Tissue SA,,Empresas CMPC S.A.,,USA,United States,CLP,Chilean peso,0,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,HUN,Hungary,521,Monetary Authorities-Central Bank,1098,"Banks, interbank data sharing",DD,Drilldown,930,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,GVH: CASE n. Vj/8-1751/2012,,Unspecified,,Unspecified,,36686,,41245,,12.5,,2016,,2016,,Hungarian Banking Association (HBA),,Hungarian Banking Association (HBA),,USA,United States,HUF,Forint,13880000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,KOR,Korea,325,Chemical Manufacturing,1065,Zofran (Ondaron) pay-for-delay,DD,Drilldown,776,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,KFTC: Annual Report 2012,,Unspecified,,Unspecified,,36161,,40817,,12.8,,2010,,2011,,GlaxoSmithKline PLC (GSK),,GlaxoSmithKline PLC (GSK),,USA,United States,KRW,Won,2800000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,GBR,United Kingdom,325,Chemical Manufacturing,1068,"Medicines, prescription, nursing homes",DD,Drilldown,784,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CMA: CASE n. CE/9627/12,,Unspecified,,Unspecified,,40694,,40857,,0.4,,2012,,2013,,Total Medication Management Service,,Hamsard 3149 Ltd.,,USA,United States,GBP,Pound sterling,660000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,USA,United States,333,Machinery Manufacturing,1161,"Auto parts, locks, keys, handles",DD,Drilldown,1143,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,DoJ: Press Release 17-253 and 16-1050,,Unspecified,,Unspecified,,37257,,40787,,9.7,,2014,,2016,,Kiekert AG,,Kiekert AG,,USA,United States,USD,US dollar,6100000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,MUS,Mauritius,312,Beverage and Tobacco Product Manufacturing,880,Beer,DD,Drilldown,28,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CCM:DS/0014,,Unspecified,,Unspecified,,36161,,39448,,9,,2014,,2014,,Phoenix Beverages Ltd.,,Phoenix Beverages Ltd.,,USA,United States,MUR,Mauritius rupee,669400,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ZAF,South Africa,312,Beverage and Tobacco Product Manufacturing,1151,"Coffee in capsules, wholesale",DD,Drilldown,1108,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CompCom SA: CASE n. CR082Aug16/SA249Dec17,,Unspecified,,Unspecified,,41275,,41760,,1.3,,2016,,Unspecified,,Secret River Trading CC,,Secret River Trading CC,,USA,United States,ZAR,Rand,60000,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ZAF,South Africa,327,Nonmetallic Mineral Product Manufacturing,942,Surfactants,DD,Drilldown,280,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,CompCom SA: press release 13/07/2017,,Unspecified,,Unspecified,,37622,,41275,,10,,2014,,2017,,Akulu Marchon Pty,,AECI (African Explosives and Chemical Industries) Ltd.,,USA,United States,ZAR,Rand,1090190,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,KOR,Korea,541,"Professional, Scientific, and Technical Services",933,"Security services, some regions",DD,Drilldown,258,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,KFTC: press release October 2014,,Unspecified,,Unspecified,,36526,,13,,13,,2014,,2014,,ADT CAPS,,Tyco International Ltd.,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,EU,European Union,237,Heavy and Civil Engineering Construction,729,"Construction, nuclear power plants",DD,Drilldown,2741,,USD,US dollar,FN,Fine,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,EC: CASE n. COMP/39736 - Siemens/Areva,,Unspecified,,European Commission,,39814,,41061,,3.4,,2010,,2010,,Unspecified,,Unspecified,,_Z,Not applicable,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,USA,United States,221,Utilities,740,Electricity and gas utilities,DD,Drilldown,2711,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,"DOJ: press release n. 10-176, 11-1292",,Unspecified,,Department of Justice Antitrust Division,,38735,,40232,,4.1,,2010,,2012,,Unspecified,,Unspecified,,_Z,Not applicable,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,ZAF,South Africa,325,Chemical Manufacturing,60,"Carbon Dioxide, Central Region",DD,Drilldown,3802,,USD,US dollar,FN,Fine,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,SA Competition Tribunal: CASE n. CR156Mar13/SA126Nov14,,Unspecified,,Competition Commission of South Africa,,34533,,40113,,15.3,,2009,,2015,,Unspecified,,Unspecified,,_Z,Not applicable,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,USA,United States,325,Chemical Manufacturing,922,Zantac generic pay-for-delay,DD,Drilldown,220,,USD,US dollar,PA,Private action,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,34700,,35431,,2,,2001,,Unspecified,,Unspecified,,Unspecified,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,USA,United States,325,Chemical Manufacturing,1236,"Kapvay, no-authorized-generic drug",DD,Drilldown,1451,,USD,US dollar,_X,Unspecified,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,41523,,41974,,1.2,,2015,,Unspecified,,Concordia Pharmaceutical,,Concordia Intl. Corp.,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,USA,United States,325,Chemical Manufacturing,1237,"Ovcom-35, no-authorized-generic",DD,Drilldown,1453,,USD,US dollar,_X,Unspecified,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,38078,,39013,,2.6,,2004,,Unspecified,,"Barr Pharmaceuticals, Inc.",,"Barr Pharmaceuticals, Inc.",,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,_Z,Not applicable,333,Machinery Manufacturing,1028,Dialysis machines,DD,Drilldown,601,,USD,US dollar,_X,Unspecified,PU,Public,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,Fresenius Medical Care ,,Fresenius SE,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
DATAFLOW,OECD.DAF.COMP:DSD_CARTEL_QDD@DF_QDD_CARTEL(1.0),The OECD International Cartels Database (microdata),I,_Z,Not applicable,424,"Merchant Wholesalers, Nondurable Goods",1185,"Gas, liquid propane (LPG) 3",DD,Drilldown,1265,,USD,US dollar,_X,Unspecified,NO,No,,,L,Missing value; data exist but were not collected,TRUE,,2,,Unspecified,,Unspecified,,Unspecified,,Unspecified,,36526,,37622,,3,,2004,,Unspecified,,Yigal Gas,,Yigal Gas,,USA,United States,_X,Unspecified,Unspecified,,Unspecified,
